,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
splt_10_5,0.04,0.01,0,0,0.01,0.01,0.1,0.02
splt_10_6,0.02,0,0,0,0,0,0.03,0.01
splt_10_7,0,0,0,0,0,0,0.04,0.01
splt_10_8,0.02,0.01,0,0,0,0,0.03,0.01
splt_10_9,0.01,0,0,0,0,0,0.09,0.01
splt_11_0,0.71,0.23,0.07,0.07,0.06,0.06,0.78,0.28
splt_11_1,0.19,0.02,0.04,0,0.03,0.03,0.55,0.12
splt_11_10,0.05,0.01,0,0,0.01,0.02,0.5,0.08
splt_11_11,0.06,0.01,0,0,0,0,0.46,0.08
splt_11_12,0,0,0,0,0,0,0.06,0.01
splt_11_13,0.01,0,0.01,0,0,0,0.02,0.01
splt_11_14,0,0,0,0,0,0,0.06,0.01
splt_11_15,0,0,0,0,0,0,0,0
splt_11_16,0,0,0,0,0,0,0.05,0.01
splt_11_17,0,0,0,0,0,0,0.01,0
splt_11_18,0.08,0.03,0,0.02,0,0.01,0.54,0.1
splt_11_19,0.03,0.01,0,0,0,0,0.05,0.01
splt_11_2,0.16,0.01,0,0,0.03,0.03,0.53,0.11
splt_11_3,0.12,0.02,0,0,0.02,0.02,0.53,0.1
splt_11_4,0.04,0.01,0,0,0,0,0.03,0.01
splt_11_5,0.04,0,0,0,0.01,0.01,0.02,0.01
splt_11_6,0.03,0,0,0,0,0.01,0.02,0.01
splt_11_7,0.05,0,0,0,0.01,0.01,0.02,0.01
splt_11_8,0.02,0,0,0,0,0,0.01,0
splt_11_9,0,0,0,0,0,0,0.01,0
splt_12_0,1,0.36,0.02,0.02,0.08,0.11,0.6,0.31
splt_12_1,0.09,0.07,0,0.01,0.01,0.01,0.52,0.1
splt_12_10,0.01,0.01,0,0,0,0,0.53,0.08
splt_12_11,0,0,0,0,0,0,0.41,0.06
splt_12_12,0.01,0,0,0,0,0,0.43,0.06
splt_12_13,0,0,0,0,0,0,0.34,0.05
splt_12_14,0,0,0,0,0,0,0.11,0.02
splt_12_15,0,0,0,0,0,0,0.42,0.06
splt_12_16,0,0,0,0,0,0,0.35,0.05
splt_12_17,0,0,0,0,0,0,0.43,0.06
splt_12_18,0.02,0.01,0,0,0,0,0.54,0.08
splt_12_19,0.05,0.01,0.02,0,0,0,0.51,0.08
splt_12_2,0.11,0.01,0.01,0,0.02,0.03,0.47,0.09
splt_12_3,0.11,0.01,0,0,0.01,0.01,0.38,0.07
splt_12_4,0.16,0.02,0,0,0.02,0.03,0.44,0.1
splt_12_5,0.01,0,0,0,0,0,0.19,0.03
splt_12_6,0.04,0.01,0,0,0,0,0.4,0.06
splt_12_7,0.03,0,0.01,0,0,0,0.26,0.04
splt_12_8,0.07,0,0,0,0,0.01,0.15,0.03
splt_12_9,0.01,0,0,0,0,0,0.23,0.03
splt_13_0,0.25,0.01,0.01,0,0.04,0.03,0.53,0.12
